# R	vm0	vm1	vm2	vstd0	vstd1	vstd2
81.53964339	0.04860711	-0.01071064	0.01894824	0.01528490	0.01591571	0.00496337
81.75875021	0.04569465	-0.00968509	0.01800478	0.01473350	0.01532924	0.00496083
81.97785702	0.04107955	-0.00735440	0.01686258	0.01390844	0.01467914	0.00499349
82.19696384	0.03651166	-0.00452250	0.01599458	0.01322177	0.01417213	0.00505292
82.41607065	0.03330786	-0.00230708	0.01550039	0.01260147	0.01373929	0.00510610
82.63517747	0.03115015	-0.00035253	0.01539881	0.01183713	0.01327921	0.00526643
82.85428428	0.02858575	0.00187309	0.01522942	0.01146925	0.01301868	0.00539888
83.07339110	0.02624926	0.00386050	0.01505488	0.01116411	0.01292891	0.00543864
83.29249791	0.02440622	0.00577140	0.01508881	0.01105185	0.01292385	0.00547153
83.51160473	0.02298112	0.00795191	0.01546652	0.01105775	0.01280120	0.00546345
83.73071155	0.02180074	0.01010226	0.01595150	0.01124923	0.01284487	0.00540446
83.94981836	0.02093686	0.01244403	0.01669045	0.01159711	0.01304427	0.00536227
84.16892518	0.02044032	0.01463915	0.01753973	0.01204975	0.01329817	0.00523899
84.38803199	0.01993162	0.01650992	0.01822077	0.01265053	0.01369741	0.00508131
84.60713881	0.01960338	0.01805634	0.01882986	0.01333083	0.01416899	0.00493353
84.82624562	0.01893273	0.01981579	0.01937426	0.01408060	0.01470550	0.00478788
85.04535244	0.01727840	0.02237115	0.01982477	0.01483552	0.01543372	0.00461763
85.26445925	0.01672792	0.02407802	0.02040297	0.01585103	0.01619297	0.00444692
85.48356607	0.01678119	0.02479083	0.02078601	0.01666411	0.01687988	0.00440055
85.70267288	0.01698576	0.02515564	0.02107070	0.01744960	0.01756992	0.00434801
85.92177970	0.01768518	0.02517535	0.02143027	0.01826307	0.01815911	0.00428381
86.14088652	0.01845782	0.02439399	0.02142590	0.01884047	0.01869374	0.00421948
86.35999333	0.01973400	0.02307247	0.02140324	0.01926067	0.01906128	0.00415621
86.57910015	0.02070081	0.02113269	0.02091675	0.01931424	0.01919076	0.00410911
86.79820696	0.02132028	0.01940177	0.02036103	0.01919194	0.01902157	0.00415744
87.01731378	0.02204866	0.01751355	0.01978111	0.01886472	0.01879961	0.00424506
87.23642059	0.02328427	0.01549885	0.01939156	0.01834228	0.01823123	0.00430719
87.45552741	0.02406064	0.01334836	0.01870450	0.01766347	0.01749884	0.00433730
87.67463422	0.02529885	0.01063714	0.01796800	0.01707484	0.01686264	0.00442808
87.89374104	0.02741322	0.00765606	0.01753464	0.01647434	0.01607569	0.00444386
88.11284785	0.02976814	0.00448731	0.01712773	0.01577907	0.01531374	0.00443381
88.33195467	0.03210461	0.00142616	0.01676539	0.01493845	0.01445776	0.00446130
88.55106148	0.03442264	-0.00265256	0.01588504	0.01421539	0.01346118	0.00450921
88.77016830	0.03672223	-0.00677897	0.01497163	0.01330956	0.01253478	0.00444724
88.98927512	0.03927466	-0.01003496	0.01461985	0.01243205	0.01177935	0.00438850
89.20838193	0.04172462	-0.01410378	0.01381042	0.01165996	0.01116198	0.00435805
89.42748875	0.04410804	-0.01755304	0.01327750	0.01101034	0.01062854	0.00429637
89.64659556	0.04620508	-0.02071382	0.01274563	0.01041567	0.01022215	0.00425784
89.86570238	0.04827831	-0.02317962	0.01254934	0.00999835	0.01000246	0.00426429
90.08480919	0.05037122	-0.02585709	0.01225706	0.00971279	0.00978846	0.00428698
90.30391601	0.04897925	-0.02510088	0.01193919	0.00959690	0.00970428	0.00434597
90.52302282	0.05016866	-0.02517003	0.01249931	0.00945369	0.00971871	0.00438579
90.74212964	0.05093145	-0.02542468	0.01275339	0.00938625	0.00968780	0.00439401
90.96123645	0.04662599	-0.02092391	0.01285104	0.00945721	0.00972601	0.00440131
91.18034327	0.04146371	-0.01619236	0.01263567	0.00991364	0.01004087	0.00442417
91.39945009	0.03605391	-0.01120619	0.01242386	0.01092632	0.01070310	0.00456543
91.61855690	0.03065559	-0.00620231	0.01222664	0.01205307	0.01160406	0.00476546
91.83766372	0.02526874	-0.00005554	0.01260660	0.01338523	0.01269221	0.00499586
92.05677053	0.01989337	0.00627488	0.01308412	0.01481455	0.01381860	0.00525615
92.27587735	0.01424931	0.01182485	0.01303708	0.01640255	0.01514105	0.00554302
92.49498416	0.00866633	0.01795669	0.01331151	0.01801196	0.01653475	0.00586828
